id,static1,duration,status,m1_cumulative,f1_cumulative,f2_cumulative
100669317,2402062830,239,status1,83,345,40
100682403,1019648059,240,status2,318,294,45
103075215,3700620253,240,status1,94,576,78
90108051,593706297,242,status1,6547,13339,3035
94798689,2436609159,242,status3,152,533,123
100657122,1019648059,242,status1,62,181,39
102535089,374474351,243,status1,59,261,25
103022601,174092870,243,status1,367,381,32
100829247,3700620253,244,status1,42,291,19
100767363,278434049,245,status1,85,402,76
102846444,1868299261,245,status1,109,313,85
100355298,3290796338,246,status2,116,682,169
100130874,195275186,247,status1,3310,8818,2062
100675185,3300989297,247,status1,123,485,75
100788837,4160356386,248,status1,3417,8149,1658
99478806,1868299261,249,status3,88,226,72
100657725,1367730211,250,status2,391,465,121
102906519,2374793273,251,status1,885,1937,347
100382190,1019648059,254,status2,99,287,38
102558192,2698206331,254,status1,3202,9594,1081
100877604,437577452,256,status1,173,785,130
102516045,1079871722,257,status1,202,893,69
100696389,1983691299,258,status1,76,487,64
100731687,1226109305,258,status1,30,119,26
100828509,4257874126,258,status1,107,465,83
102387417,1079871722,259,status1,101,648,134
100289652,3810082316,260,status2,20,107,16
100670298,2215824260,260,status1,259,470,52
100686282,3371407112,261,status1,84,499,48
100810230,1154315722,262,status1,1414,4028,718
100853799,69335026,263,status1,276,1288,143
110068485,2529144984,263,status1,1388,3523,187
100769982,1226109305,264,status1,344,1380,186
102486462,563648276,265,status1,2012,8907,1692
102242859,1019648059,266,status1,487,2496,827
100665366,1019648059,267,status1,63,90,33
100658337,1019648059,268,status1,118,267,46
94718130,2529144984,269,status3,57,841,46
100763079,3290796338,272,status1,114,219,56
100707738,4160356386,273,status1,114,339,74
100657491,3290796338,274,status1,151,285,90
100728609,3130270048,274,status1,255,1694,213
100668093,1019648059,276,status1,454,1454,149
100838130,1592171568,276,status1,61,82,14
100787253,3810082316,277,status1,394,1057,243
102251589,3009789263,277,status1,148,703,97
102286653,2226018406,277,status1,220,670,126
100844511,1983691299,278,status1,1985,7734,1460
102291882,2920270549,278,status1,2210,5200,1234
100868442,1983691299,279,status1,90,552,69
94786827,2321003029,280,status3,26,56,36
100682655,1367730211,280,status1,376,1096,78
100128408,563648276,281,status2,528,1085,289
100677975,1367730211,281,status1,99,444,28
100707000,2646245013,281,status1,570,2293,191
100819428,563648276,281,status1,1168,1764,386
100653396,1019648059,282,status1,1283,3427,608
100862943,968016663,282,status1,107,509,50
102366978,2226018406,282,status1,1165,4269,1161
100848705,4197554869,283,status1,1147,3897,806
90449808,247912416,284,status1,337,2228,238
100663809,1019648059,284,status1,150,521,91
100672836,117704642,284,status1,428,1904,270
100803021,2226018406,285,status1,90,282,70
100881915,2920270549,285,status1,1290,2054,376
100427982,3920016617,286,status1,75,219,25
100671414,1019648059,286,status1,800,2173,594
100742865,2374793273,286,status1,2599,4136,676
100755321,1226109305,286,status1,78,374,69
100677336,2529144984,287,status1,120,206,33
100729428,2529144984,287,status1,932,4173,927
102286986,278434049,287,status1,7436,14058,2420
100750938,2226018406,288,status1,235,631,163
100813083,247912416,288,status1,225,496,52
100865148,278434049,288,status1,334,559,95
100708080,3720454950,289,status1,1623,4951,1255
100766310,1868299261,289,status1,543,1036,196
100836276,2529144984,289,status1,753,11604,5192
100881645,2920270549,289,status1,626,1777,571
99868047,3290796338,290,status1,65,278,61
100435443,3290796338,291,status1,194,835,214
100525839,2529144984,291,status1,193,599,62
100675896,247912416,291,status1,82,434,58
100655637,1019648059,293,status1,6802,11346,3222
100824216,247912416,293,status1,31531,53394,13267
90641283,2436609159,294,status3,91,660,138
90025728,3290796338,296,status3,24,311,39
90655917,4257874126,296,status3,65,288,77
100543713,1226109305,296,status1,351,655,164
99456558,1592171568,298,status1,7,46,11
99417543,1019648059,299,status2,84,385,77
90191121,1868299261,302,status2,333,1438,292
90349485,2646245013,304,status2,22,86,18
100383594,247912416,304,status1,245,1615,248
100198950,2920270549,305,status1,750,3508,790
100331763,2321003029,305,status1,36,54,12
100330026,1019648059,309,status1,35,243,27
90075660,117704642,311,status1,166,671,99
94771662,1019648059,311,status2,33,169,36
90454569,247912416,312,status3,39,299,76
90498993,1455170578,312,status3,694,2402,620
100253868,3473266654,312,status1,213,855,162
100383477,3290796338,312,status1,738,2045,530
100335327,1019648059,313,status1,547,1744,230
90347118,3371407112,314,status3,55,899,159
99627936,3920016617,315,status1,107,264,107
90348738,946688712,316,status3,115,198,73
94808616,2226018406,316,status1,618,1576,314
100254210,2432496835,316,status1,410,1402,179
90696165,2549744922,317,status3,10,46,19
99833388,2226018406,318,status1,167,524,139
94726023,2549744922,319,status1,510,6646,1864
99831507,1019648059,319,status1,756,2114,353
94722540,2149033318,320,status3,84,465,139
90347667,247912416,321,status3,118,1485,289
100133439,2226018406,323,status1,743,1519,241
100130514,1019648059,324,status1,856,4823,1723
99722238,3130270048,325,status1,25,131,28
100141215,2871513223,327,status1,1283,5149,1092
99936294,1868299261,332,status1,115,347,100
99833316,1868299261,333,status1,740,1031,231
99628674,1226109305,334,status1,228,1033,159
99869577,1868299261,335,status1,690,1511,369
99983508,1019648059,335,status1,401,1814,187
99788721,374474351,337,status1,148,392,97
94728093,2065677788,339,status2,156,458,182
94728354,3290796338,339,status2,230,1199,282
99676356,1019648059,339,status1,677,1730,281
99806262,1019648059,340,status1,1255,3495,804
94715250,332352108,341,status2,11,94,20
99806199,2920270549,342,status1,629,1867,207
99715353,946688712,345,status1,750,1869,353
99755124,2321003029,346,status1,1974,40982,12025
99720870,2529144984,347,status1,122,571,84
99714003,1226109305,349,status1,807,2161,522
99714120,2378809453,355,status1,1475,3347,675
94725735,2226018406,356,status2,45,206,60
94805727,163752073,356,status2,65,251,65
99658959,1079871722,356,status1,101,534,76
94776639,1019648059,358,status2,12,20,30
99610872,2415587342,358,status1,255,652,150
100199616,1019648059,358,status2,238,1097,179
94756353,3371407112,361,status2,6,61,20
99616236,2415587342,363,status1,668,1988,371
100320144,2360321447,365,status1,1457,7146,2584
90041037,2646245013,366,status3,294,1820,295
99496860,1983691299,367,status1,211,1429,145
90454605,1238463349,368,status3,212,775,216
90047778,2543626026,371,status3,6,20,21
99552156,117704642,373,status1,1125,6170,708
99514428,1019648059,374,status1,820,2471,509
94763967,902907408,375,status1,302,995,223
90449205,3300989297,377,status3,37,299,83
90466350,1868299261,377,status3,43,205,96
99467952,1019648059,377,status1,311,2108,194
90128184,1868299261,379,status3,31,125,60
94715547,3700620253,380,status1,821,3086,511
90026673,3290796338,382,status1,2360,4995,1125
99456549,2226018406,382,status1,1570,4598,932
94798590,2920270549,383,status1,27,84,41
99467961,2931150728,383,status1,536,1887,214
99398643,3290796338,384,status1,389,2347,455
90249684,2169130744,386,status1,29,166,45
99450465,2402062830,386,status1,224,1134,263
90128742,2529144984,387,status1,90,432,71
94780347,2920270549,387,status2,213,796,187
94892352,2415587342,387,status1,23,143,68
99437010,1226109305,388,status1,3980,14625,2125
94818453,1019648059,391,status1,30,109,37
94868826,1019648059,391,status1,65,280,61
94868025,1019648059,393,status1,483,1321,186
90471138,1868299261,394,status1,734,1816,597
94794027,247912416,394,status1,36,181,46
94786665,1019648059,395,status1,29,50,29
94828641,3473266654,395,status1,519,3089,585
94722486,3130270048,397,status2,29,232,49
94750971,2920270549,400,status1,52,207,73
94828596,2920270549,403,status1,1243,4637,750
90051513,2931150728,404,status1,49,248,65
94786476,1019648059,404,status1,484,2846,353
94808895,1868299261,404,status1,415,982,306
90131379,3075814709,405,status3,33,187,68
94776378,247912416,405,status1,823,8914,787
94777062,1019648059,406,status1,105,439,96
94780455,1019648059,409,status1,295,1714,233
94794333,1019648059,409,status1,302,717,110
94753023,495645674,410,status1,54,247,72
94776351,4257874126,410,status1,131,383,129
94794171,3920016617,410,status1,9347,15031,5456
94719786,1019648059,412,status1,234,471,131
90495870,3290796338,413,status3,1662,11681,2911
94780437,1019648059,415,status1,301,1197,134
94768431,1154315722,416,status1,154,816,90
94780482,1019648059,416,status1,1007,6404,449
90028104,195275186,420,status3,30,190,79
94728237,2360321447,420,status1,102,688,104
90520665,563648276,423,status1,78,383,118
90123612,1226109305,424,status3,72,472,84
90127428,3563050427,425,status3,301,909,198
94751277,1019648059,426,status1,612,72118,25872
94728165,2374793273,428,status1,439,923,179
94728300,3371407112,428,status1,327,1176,205
94753149,3473266654,428,status1,148,3011,952
94722423,1019648059,429,status1,65,121,34
99833793,3920016617,430,status1,45,65,35
94715304,1019648059,432,status1,65,161,54
94726941,247912416,433,status1,196,1526,181
90471264,247912416,434,status3,50,866,121
94713675,679110528,434,status1,807,2029,223
94715529,247912416,437,status1,217,1350,169
94716006,3290796338,437,status3,928,2910,853
94717689,3371407112,441,status1,460,2246,273
90106782,1983691299,443,status3,187,1228,140
90135969,2660123604,447,status3,357,2954,438
90119742,163752073,449,status3,78,302,67
90504258,3290796338,450,status3,278,2193,341
90675276,247912416,453,status1,7959,67905,11827
90248694,2374793273,454,status3,71,380,88
90696210,4141316854,454,status1,272,1424,205
90249504,2149033318,455,status3,82,477,204
90408678,1129144861,457,status3,42,214,83
90250026,1226109305,459,status3,553,3228,394
90000780,3371407112,460,status3,144,1536,594
90137211,4257874126,464,status1,136,527,127
90127527,2646245013,467,status1,447,1877,232
90098061,3290796338,468,status2,304,2209,483
90363417,2169130744,468,status2,9,19,12
90004002,3371407112,472,status3,31,265,64
90444435,2432496835,475,status3,586,5753,419
90137985,1835246922,476,status3,350,4045,972
90134061,3290796338,479,status3,196,1374,286
90638781,1868299261,482,status1,42,216,62
90126195,563648276,485,status2,93,522,108
90365001,3465463399,494,status3,70,507,87
90133593,3720454950,497,status3,266,1575,503
90133359,247912416,498,status2,138,684,175
90633201,2920270549,498,status2,5468,15611,2184
90646548,3290796338,498,status1,228,1257,390
90654450,1238463349,502,status1,17,83,22
90521844,2360321447,504,status2,1573,16514,3885
90646359,117704642,506,status1,1073,4332,778
90500730,2374793273,508,status1,1078,3496,587
90477159,1455170578,511,status1,32,101,70
90633066,3473266654,514,status1,314,2674,387
90048660,3075814709,515,status3,6,23,13
90641850,69335026,515,status1,205,1119,111
90406626,278434049,519,status2,56,229,63
90475017,2226018406,520,status1,382,1650,302
90637773,2920270549,520,status1,1620,3999,977
90029967,1868299261,522,status3,8,27,14
90476763,4267015777,523,status1,349,2193,368
90634767,2920270549,523,status1,148,640,107
90504294,247912416,524,status1,82,833,146
90533616,3757810423,524,status1,188,794,130
90579552,3371407112,524,status1,152,601,111
90580659,3290796338,527,status1,502,733,218
90636171,3473266654,528,status1,79,532,85
90399714,3290796338,530,status2,173,1016,189
90499200,3290796338,530,status2,304,937,263
90529791,4160356386,530,status1,94,728,146
90027087,1868299261,533,status1,356,1273,383
90092319,2149033318,537,status1,176,661,178
90040983,3810082316,540,status1,382,793,171
90364461,2374793273,541,status2,51,293,75
90454659,247912416,544,status1,256,1666,239
90126681,2226018406,545,status1,4948,9456,2321
90583026,2169130744,545,status1,3849,13468,2154
90513348,4197554869,547,status1,495,2843,270
90003345,2065677788,549,status1,210,1216,170
90171492,247912416,549,status2,664,5084,674
90501936,247912416,549,status1,343,2201,235
90507606,2360321447,549,status1,458,3189,419
90511197,1868299261,549,status1,311,887,237
90499020,1592171568,552,status1,1835,10632,1179
90525372,968016663,554,status1,1526,5306,459
90365433,3700620253,559,status1,32,125,68
90471246,946688712,560,status1,2156,8673,1449
90510882,3700620253,565,status1,110,713,159
